NameRu,UtcOffset,PostalCode,Latitude,Longitude
Губкин,3,309180,51.2837123,37.5347759
Короча,3,309210,50.8129041,37.1896436
Новый Оскол,3,309640,50.7633747,37.8775484
Старый Оскол,3,309500,51.2967101,37.8350182
Строитель,3,309070,50.7845099,36.4887648
Шебекино,3,309290,50.4004883,36.8877889
Брянск,3,241000,53.2419535,34.3652146
Дятьково,3,242600,53.5958178,34.3551812
Жуковка,3,242700,53.5340397,33.7302579
Злынка,3,243600,52.4267015,31.7360399
Карачев,3,242500,53.1296524,34.9888727
Клинцы,3,243140,52.7529119,32.233911
Мглин,3,243220,53.0599771,32.8468129
Новозыбков,3,243020,52.537173,31.9357991
Почеп,3,243400,52.9154851,33.4744058
Севск,3,242440,52.1483358,34.4918415
Сельцо,3,241550,53.3739884,34.1059172
Стародуб,3,243240,52.5852257,32.760403
Сураж,3,243500,53.0170888,32.3938878
Трубчевск,3,242220,52.5791734,33.7660547
Унеча,3,243300,52.8461199,32.6757629
Фокино,3,242610,53.4554145,34.4159238
Бабушкин,8,671230,51.7112755,105.8673219
Гусиноозерск,8,671160,51.2865048,106.5230319
Закаменск,8,671950,50.372713,103.286699
Кяхта,8,671840,50.346543,106.4533516
Северобайкальск,8,671700,55.635614,109.3361505
Улан-Удэ,8,670000,51.8335853,107.5842223
Александров,3,601650,56.391819,38.7111123
Владимир,3,600000,56.1280804,40.4084376
Вязники,3,601440,56.29773,42.2687398
Гороховец,3,601480,56.2021036,42.6926111
Гусь-Хрустальный,3,601500,55.6198751,40.6579929
Камешково,3,601300,56.3490152,40.9955183
Карабаново,3,601640,56.3131822,38.7034257
Киржач,3,601010,56.1486863,38.8635701
Ковров,3,601900,56.3554349,41.3170576
Кольчугино,3,601780,56.3327254,39.391336
Костерево,3,601110,55.9337222,39.6247398
Курлово,3,601570,55.452698,40.6124108
Лакинск,3,601240,56.0180587,39.956551
Меленки,3,602101,55.3387515,41.6340046
Муром,3,602205,55.5630311,42.0231362
Петушки,3,601140,55.9298134,39.4508075
Покров,3,601120,55.9166398,39.1734526
Радужный,3,600910,55.9960277,40.3321855
Собинка,3,601201,55.9939169,40.0179653
Струнино,3,601670,56.3749967,38.5839667
Судогда,3,601351,55.9498056,40.8562939
Суздаль,3,601291,56.4274441,40.4525692
Юрьев-Польский,3,601800,56.4937757,39.6680539
Волгоград,4,400000,48.7070042,44.5170339
Волжский,4,404100,48.7978209,44.7462538
Дубовка,4,404002,49.0554742,44.8270085
Жирновск,4,403790,50.9768814,44.7858202
Калач-на-Дону,4,404500,48.6889024,43.5306303
Камышин,4,403870,50.0651529,45.3844202
Котельниково,4,404350,47.6310259,43.1330872
Котово,4,403801,50.3205766,44.8030699
Краснослободск,4,404160,48.7068721,44.5630857
Ленинск,4,404620,48.6936061,45.1992692
Михайловка,4,403340,50.0708719,43.2401512
Николаевск,4,404030,50.0165306,45.4731658
Новоаннинский,4,403950,50.5296067,42.6666439
Палласовка,4,404260,50.0500944,46.8804277
Петров Вал,4,403840,50.1380557,45.20914
Серафимович,4,403441,49.5663183,42.7360402
Суровикино,4,404410,48.618917,42.8541163
Урюпинск,4,403110,50.7903789,42.0288513
Фролово,4,403530,49.7649148,43.6648641
Бабаево,3,162480,59.3892583,35.9377058
Белозерск,3,161200,60.0308381,37.7890586
Великий Устюг,3,162390,60.7603913,46.3054414
Вологда,3,160000,59.2483905,39.8355662
Вытегра,3,162900,61.0063465,36.4495137
Грязовец,3,162000,58.8757553,40.2485362
Кадников,3,162107,59.5037764,40.3441148
Кириллов,3,161100,59.8591523,38.3748782
Красавино,3,162341,60.9612823,46.4814116
Никольск,3,161440,59.5351837,45.4576137
Сокол,3,162129,59.4758605,40.1114187
Тотьма,3,161300,59.9734998,42.7589506
Устюжна,3,162840,58.8383117,36.4425478
Харовск,3,162250,59.9479423,40.2000298
Череповец,3,162600,59.1269212,37.9090497
Бобров,3,397700,51.0901649,40.0318256
Богучар,3,396790,49.9352454,40.5590801
Борисоглебск,3,397160,51.3655754,42.1008334
Бутурлиновка,3,397500,50.8311818,40.5976923
Воронеж,3,394000,51.6593332,39.1969229
Калач,3,397600,50.4242134,41.0162014
Лиски,3,397900,50.9945626,39.5184909
Нововоронеж,3,396070,51.3091524,39.2162843
Новохоперск,3,397400,51.0952211,41.6173404
Острогожск,3,397837,50.8677905,39.0407746
Павловск,3,396420,50.453455,40.136874
Поворино,3,397350,51.1954419,42.2472726
Россошь,3,396650,50.1701949,39.6226965
Семилуки,3,396900,51.6951644,39.0190454
Эртиль,3,397030,51.830932,40.8074182
Буйнакск,3,368220,42.8214424,47.1165263
Дагестанские Огни,3,368670,42.1152296,48.1939354
Дербент,3,368000,42.058966,48.2907452
Избербаш,3,368500,42.5650962,47.8710051
Каспийск,3,368300,42.8916007,47.6367066
Кизилюрт,3,368120,43.203825,46.8729636
Кизляр,3,368830,43.8484083,46.7233699
Махачкала,3,367000,42.9849159,47.5047181
Хасавюрт,3,368000,43.2504665,46.5851292
Южно-Сухокумск,3,368890,44.6602467,45.6499523
Биробиджан,10,679002,48.7946446,132.9217207
Облучье,10,679100,49.0189345,131.0540102
Балей,9,673450,51.5823759,116.6379549
Борзя,9,674600,50.3876058,116.5234779
Краснокаменск,9,674670,50.0929703,118.0323936
Могоча,9,673730,53.7361398,119.7660867
Нерчинск,9,673400,51.9594977,116.5852383
Петровск-Забайкальский,9,673000,51.2748592,108.846681
Сретенск,9,673500,52.2461454,117.7117842
Хилок,9,673200,51.3634856,110.4590898
Чита,9,672000,52.0340142,113.4994
Шилка,9,673303,51.8497035,116.0334461
Вичуга,3,155330,57.2044698,41.9132201
Гаврилов Посад,3,155000,56.5586946,40.1228906
Заволжск,3,155410,57.4918141,42.1375625
Иваново,3,153000,56.9993792,40.9728272
Кинешма,3,155800,57.4425463,42.168914
Комсомольск,3,155150,57.0273052,40.3776851
Кохма,3,153510,56.9324606,41.0931657
Наволоки,3,155830,57.4679066,41.9608002
Плес,3,155555,57.4606031,41.5122672
Приволжск,3,155550,57.3805743,41.2808565
Пучеж,3,155360,56.9820688,43.1683321
Родники,3,155250,57.1025975,41.7298834
Тейково,3,155040,56.8542719,40.5353874
Фурманов,3,155520,57.2539276,41.1054432
Шуя,3,155900,56.8560234,41.3800939
Южа,3,155630,56.5926877,42.0458099
Юрьевец,3,155450,57.3177781,43.1110401
Карабулак,3,386230,43.3055248,44.9094582
Магас,3,386001,43.1688611,44.8131207
Малгобек,3,386300,43.5096646,44.5901963
Назрань,3,386100,43.2257841,44.7645779
Сунжа,3,386200,43.3204196,45.0476331
Алзамай,8,665160,55.5551233,98.6643699
Ангарск,8,665800,52.544879,103.888543
Байкальск,8,665930,51.5230393,104.1487532
Бирюсинск,8,665050,55.9609167,97.8205348
Бодайбо,8,666901,57.8468636,114.1866287
Братск,8,665700,56.1513108,101.6340035
Вихоревка,8,665770,56.1208145,101.1702926
Железногорск-Илимский,8,665650,56.5847888,104.114275
Зима,8,665382,53.920693,102.0491772
Иркутск,8,664000,52.2864036,104.2807466
Киренск,8,666700,57.7756595,108.1109412
Нижнеудинск,8,665100,54.8968931,99.0314056
Саянск,8,666300,54.1107238,102.18015
Свирск,8,665420,53.0842668,103.3364093
Слюдянка,8,665902,51.6563983,103.7187545
Тайшет,8,665000,55.9405334,98.0030145
Тулун,8,665250,54.557162,100.5780603
Усолье-Сибирское,8,665450,52.7565808,103.6388109
Усть-Илимск,8,666671,57.9430504,102.7415734
Усть-Кут,8,666780,56.7928178,105.7757343
Черемхово,8,665400,53.1369095,103.0901268
Шелехов,8,666031,52.2102538,104.0973294
Баксан,3,361500,43.6819137,43.5345036
Майский,3,361110,43.6281516,44.0517314
Нальчик,3,360000,43.4845464,43.60713
Нарткала,3,361330,43.5578075,43.8575925
Прохладный,3,361040,43.7589602,44.0102409
Терек,3,361200,43.4839358,44.1402161
Тырныауз,3,361621,43.3981585,42.9213582
Чегем,3,361400,43.5671525,43.5865792
Багратионовск,2,238420,54.3866518,20.6418091
Балтийск,2,238520,54.6513372,19.9140572
Гвардейск,2,238210,54.6588378,21.0501388
Гурьевск,2,238300,54.770638,20.6039767
Гусев,2,238050,54.5915455,22.1942445
Зеленоградск,2,238326,54.9600185,20.4753652
Калининград,2,236001,54.7074702,20.5073241
Краснознаменск,2,238730,54.9453423,22.4928745
Ладушкин,2,238460,54.5692156,20.1690153
Мамоново,2,238450,54.4646036,19.9453482
Неман,2,238710,55.0316524,22.0324064
Нестеров,2,238010,54.6313814,22.5713736
Озерск,2,238120,54.4084705,22.0134438
Пионерский,2,238590,54.9516574,20.2277424
Полесск,2,238630,54.8625126,21.0998067
Правдинск,2,238400,54.4430986,21.0085269
Приморск,2,238510,54.7311437,19.9981926
Светлогорск,2,238560,54.9439286,20.1514295
Светлый,2,238340,54.6772897,20.1357595
Славск,2,238600,55.0449714,21.6742367
Советск,2,238750,55.0809336,21.8886106
Черняховск,2,238150,54.6244751,21.7969062
Городовиковск,3,359050,46.0875083,41.935537
Лагань,3,359220,45.3930912,47.3432602
Элиста,3,358000,46.3083344,44.2702088
Балабаново,3,249000,55.1773714,36.6566951
Белоусово,3,249160,55.0956803,36.677629
Боровск,3,249010,55.2130096,36.4926251
Ермолино,3,249026,55.1971758,36.5952722
Жиздра,3,249340,53.7521926,34.7386592
Жуков,3,249190,55.0301833,36.7394903
Калуга,3,248000,54.5059848,36.2516245
Киров,3,249440,54.0790111,34.3076201
Козельск,3,249720,54.0347201,35.780768
Кондрово,3,249830,54.7959473,35.9274842
Кременки,3,249185,54.8862447,37.1168701
Людиново,3,249400,53.8700828,34.4385915
Малоярославец,3,249091,55.0177123,36.4633603
Медынь,3,249950,54.9689785,35.8872168
Мещовск,3,249240,54.3191471,35.2816918
Мосальск,3,249930,54.4824939,34.9872239
Обнинск,3,249030,55.0943144,36.6121639
Сосенский,3,249710,54.0566016,35.9621646
Спас-Деменск,3,249610,54.409922,34.0189631
Сухиничи,3,249270,54.097296,35.3443568
Таруса,3,249100,54.7236477,37.1671
Юхнов,3,249910,54.7446445,35.2424346
Вилючинск,12,684090,52.9302415,158.4057632
Елизово,12,684000,53.1830375,158.3883548
Петропавловск-Камчатский,12,683000,53.036908,158.6559254
Карачаевск,3,369200,43.7732525,41.9143472
Теберда,3,369210,43.4437731,41.7415142
Усть-Джегута,3,369300,44.0838442,41.9711046
Черкесск,3,369000,44.2269425,42.0466704
Беломорск,3,186500,64.5378417,34.7799462
Кемь,3,186610,64.9543539,34.5949263
Кондопога,3,186220,62.2059817,34.2682122
Костомукша,3,186930,64.5889398,30.6016832
Лахденпохья,3,186730,61.518881,30.1996116
Медвежьегорск,3,186350,62.9127626,34.4568489
Олонец,3,186000,60.9794025,32.9725519
Петрозаводск,3,185000,61.7891264,34.3596434
Питкяранта,3,186810,61.5757191,31.4640557
Пудож,3,186150,61.8058821,36.5329941
Сегежа,3,186420,63.7437572,34.3126982
Сортавала,3,186790,61.703367,30.6916998
Суоярви,3,186870,62.0787293,32.3499386
Анжеро-Судженск,7,652470,56.0786281,86.0201278
Белово,7,652600,54.4220968,86.3037373
Березовский,7,652420,55.6693513,86.2744459
Гурьевск,7,652780,54.2859263,85.9475985
Калтан,7,652740,53.5210919,87.2771636
Кемерово,7,650000,55.3910651,86.0467781
Киселевск,7,652700,54.0059999,86.6366116
Ленинск-Кузнецкий,7,652500,54.6674492,86.1797324
Мариинск,7,652150,56.2127383,87.7454924
Междуреченск,7,652870,53.6865289,88.0702754
Мыски,7,652840,53.7125695,87.8055646
Новокузнецк,7,654000,53.794315,87.2142745
Осинники,7,652800,53.5988055,87.3371272
Полысаево,7,652560,54.6055,86.2809208
Прокопьевск,7,652701,53.8604265,86.7183577
Салаир,7,652770,54.2351735,85.8030733
Тайга,7,652400,56.0622131,85.6207182
Таштагол,7,652990,52.759313,87.8476546
Топки,7,652300,55.2764707,85.6152619
Юрга,7,652050,55.7202694,84.8886399
Белая Холуница,3,613200,58.8415239,50.8460699
Вятские Поляны,3,612960,56.2284817,51.0614855
Зуевка,3,612410,58.4032152,51.1331606
Киров,3,610000,58.6035264,49.6679304
Кирово-Чепецк,3,613040,58.5559424,50.0316848
Кирс,3,612820,59.340056,52.2414437
Котельнич,3,612600,58.3034832,48.3475597
Луза,3,613980,60.6290609,47.2612445
Малмыж,3,612920,56.5243844,50.6782739
Мураши,3,613710,59.3955383,48.9638417
Нолинск,3,613440,57.5597284,49.93575
Омутнинск,3,612740,58.6698913,52.1894564
Орлов,3,612270,58.5389776,48.8927723
Слободской,3,613150,58.7311574,50.1669249
Советск,3,613341,57.584196,48.9590272
Сосновка,3,612990,56.2532741,51.2833642
Уржум,3,613530,57.1097477,50.0058097
Яранск,3,612260,57.3040326,47.8478737
Воркута,3,169900,67.4974082,64.061034
Вуктыл,3,169570,63.8615274,57.3165402
Емва,3,169200,62.5965137,50.8732125
Инта,3,169840,66.0367316,60.1152961
Микунь,3,169060,62.3579068,50.0719503
Печора,3,169600,65.148584,57.2239777
Сосногорск,3,169500,63.5989841,53.876293
Сыктывкар,3,167000,61.6686617,50.8358151
Усинск,3,169710,65.994147,57.5569423
Ухта,3,169300,63.5565514,53.7014239
Буй,3,157000,58.4733277,41.5306822
Волгореченск,3,156901,57.4424559,41.1594201
Галич,3,157200,58.3828191,42.3654013
Кологрив,3,157440,58.8269323,44.3184927
Кострома,3,156000,57.8029621,40.9908264
Макарьев,3,157460,57.8807152,43.8014197
Мантурово,3,157300,58.3265441,44.757494
Нерехта,3,157800,57.4543369,40.5723598
Нея,3,157331,58.2943349,43.8780948
Солигалич,3,157170,59.0784867,42.2878423
Чухлома,3,157130,58.753421,42.6884958
Шарья,3,157500,58.3760542,45.4062414
Абинск,3,353320,44.8679655,38.1618157
Анапа,3,353440,44.8950433,37.3163282
Апшеронск,3,352690,44.4584006,39.7299824
Армавир,3,352900,45.0012149,41.1324168
Белореченск,3,352630,44.7651876,39.8781494
Геленджик,3,353460,44.5630007,38.0790852
Горячий Ключ,3,353288,44.6344864,39.1354738
Гулькевичи,3,352190,45.3605121,40.6918389
Ейск,3,353680,46.71157,38.2763895
Кореновск,3,353180,45.4641703,39.458949
Краснодар,3,350000,45.0401604,38.9759647
Кропоткин,3,352380,45.4333007,40.5727951
Крымск,3,353380,44.9344404,37.9855795
Курганинск,3,352430,44.8877025,40.5913245
Лабинск,3,352500,44.6354363,40.7245341
Новокубанск,3,352240,45.1038699,41.0475175
Новороссийск,3,353900,44.7235026,37.7686135
Приморско-Ахтарск,3,353860,46.0515432,38.1704875
Славянск-на-Кубани,3,353560,45.2603626,38.1259774
Сочи,3,354000,43.5854551,39.7231548
Темрюк,3,353500,45.2610949,37.4454412
Тимашевск,3,352700,45.615923,38.9351837
Тихорецк,3,352120,45.8546345,40.1260267
Туапсе,3,352800,44.1105335,39.0824904
Усть-Лабинск,3,352330,45.2227359,39.6929577
Хадыженск,3,352680,44.4122963,39.5320258
Артемовск,7,662951,54.3473075,93.4358377
Ачинск,7,662150,56.253907,90.4794397
Боготол,7,662060,56.2098468,89.5299336
Бородино,7,663980,55.9054121,94.9020967
Дивногорск,7,663081,55.9576784,92.3800687
Дудинка,7,647000,69.4031364,86.1907218
Енисейск,7,663150,58.4485261,92.1651083
Железногорск,7,662970,56.2529035,93.532273
Заозерный,7,663960,55.9617752,94.7091491
Зеленогорск,7,663690,56.1131564,94.5888103
Игарка,7,663200,67.4666901,86.5812794
Иланский,7,663800,56.2374037,96.067267
Канск,7,663600,56.2051282,95.7051096
Кодинск,7,663491,58.6032644,99.1797962
Красноярск,7,660000,56.0093879,92.8524806
Лесосибирск,7,662541,58.221681,92.5037872
Минусинск,7,662600,53.7104586,91.6872907
Назарово,7,662200,56.0113799,90.4168775
Норильск,7,663300,69.3489978,88.2009846
Сосновоборск,7,662500,56.1202647,93.3354121
Ужур,7,662251,55.3141969,89.8333918
Уяр,7,663920,55.8131263,94.3282601
Шарыпово,7,662310,55.5389739,89.1801044
Ялта,3,298676,44.4164605,34.0444797
Алушта,3,298500,44.6764304,34.4100624
Армянск,3,296012,46.1059307,33.6910012
Бахчисарай,3,298400,44.7514769,33.8752176
Белогорск,3,297600,45.057202,34.5999029
Джанкой,3,296100,45.7092306,34.3883372
Евпатория,3,297402,45.190629,33.367634
Керчь,3,298300,45.3562627,36.4674513
Красноперекопск,3,296000,45.9537576,33.7921939
Саки,3,296500,45.1341997,33.6033383
Симферополь,3,295000,44.9482948,34.1001151
Старый Крым,3,297345,45.029058,35.0901474
Судак,3,298000,44.8504679,34.9762034
Феодосия,3,298100,45.0318393,35.3824259
Щелкино,3,298213,45.4288991,35.825165
Ялта,3,298600,44.4953612,34.166308
Далматово,5,641730,56.262114,62.9387011
Катайск,5,641700,56.290809,62.5800359
Курган,5,640002,55.4443883,65.3161963
Куртамыш,5,641430,54.9368539,64.4203722
Макушино,5,641600,55.2153947,67.2451705
Петухово,5,641640,55.0650077,67.8873408
Шадринск,5,641870,56.0870344,63.6297182
Шумиха,5,641100,55.2280246,63.2901272
Щучье,5,641010,55.2087637,62.7478548
Дмитриев,3,307500,52.1268464,35.0739038
Железногорск,3,307170,52.3380202,35.3516867
Курск,3,305000,51.7303637,36.1925603
Курчатов,3,307250,51.6604083,35.6572224
Льгов,3,307750,51.6597148,35.2612491
Обоянь,3,306230,51.2119324,36.2755133
Рыльск,3,307370,51.5681314,34.6802597
Суджа,3,307800,51.1918927,35.2720915
Фатеж,3,307100,52.0917728,35.8538706
Щигры,3,306509,51.8786014,36.8910945
Бокситогорск,3,187650,59.4734797,33.845688
Волосово,3,188410,59.4445408,29.4923355
Волхов,3,187401,59.9005958,32.3520756
Всеволожск,3,188640,60.0191278,30.6456718
Выборг,3,188800,60.7130801,28.7328336
Высоцк,3,188909,60.6296236,28.5709314
Гатчина,3,188300,59.565237,30.1282473
Ивангород,3,188490,59.3766119,28.2231659
Каменногорск,3,188950,60.950855,29.1308372
Кингисепп,3,188455,59.3740435,28.6112444
Кириши,3,187110,59.4742862,32.0624947
Кировск,3,187340,59.8754216,30.981364
Коммунар,3,188320,59.6215133,30.3934125
Кудрово,3,188691,59.9075226,30.5121008
Лодейное Поле,3,187700,60.7320936,33.5521022
Луга,3,188230,58.7374031,29.8465776
Любань,3,187050,59.3493847,31.2484801
Мурино,3,188662,60.044862,30.4571456
Никольское,3,187026,59.7043309,30.7874571
Новая Ладога,3,187450,60.1100135,32.3141203
Отрадное,3,187330,59.7726848,30.7988557
Пикалево,3,187600,59.5132022,34.1772776
Подпорожье,3,187780,60.9127549,34.1567664
Приморск,3,188910,60.3660209,28.6135772
Приозерск,3,188760,61.0330896,30.1587851
Светогорск,3,188990,61.1111282,28.8725865
Сертолово,3,188650,60.1446932,30.2095918
Сланцы,3,188560,59.1178185,28.0881475
Сосновый Бор,3,188540,59.8772884,29.1291619
Сясьстрой,3,187420,60.1401739,32.5601559
Тихвин,3,187550,59.6272904,33.5072731
Тосно,3,187000,59.5407098,30.877812
Шлиссельбург,3,187320,59.9443714,31.0333365
Грязи,3,399050,52.4874097,39.9331142
Данков,3,399850,53.2577411,39.1456184
Елец,3,399770,52.6152411,38.5289342
Задонск,3,399200,52.4004179,38.9205032
Лебедянь,3,399610,53.0156117,39.143536
Липецк,3,398000,52.610249,39.5947883
Усмань,3,399341,52.0442648,39.726401
Чаплыгин,3,399900,53.24048,39.9670973
Магадан,11,685000,59.5681332,150.8084956
Сусуман,11,686314,62.7805882,148.1540281
Волжск,3,425000,55.8623156,48.3715083
Звенигово,3,425060,55.9738571,48.0170245
Йошкар-Ола,3,424000,56.6343662,47.8999706
Козьмодемьянск,3,425350,56.3334036,46.546675
Ардатов,3,431850,54.8465544,46.2411232
Инсар,3,431430,53.8770022,44.3696566
Ковылкино,3,431350,54.0391072,43.9191539
Краснослободск,3,431260,54.4248207,43.7845011
Рузаевка,3,431440,54.0581967,44.9490466
Саранск,3,430000,54.1809332,45.1862632
Темников,3,431220,54.6310583,43.2161099
Апрелевка,3,143360,55.5276918,37.065143
Балашиха,3,143900,55.796389,37.938283
Белоозерский,3,140250,55.4595766,38.4389742
Бронницы,3,140170,55.4255379,38.264145
Верея,3,143330,55.3673997,36.1563454
Видное,3,142700,55.551725,37.7061984
Волоколамск,3,143600,56.0356499,35.9585112
Воскресенск,3,140200,55.3071519,38.7027953
Высоковск,3,141650,56.3359513,36.5251837
Голицыно,3,143040,55.6190582,36.9856793
Дедовск,3,143530,55.8703276,37.1245043
Дзержинский,3,140090,55.6240869,37.8440276
Дмитров,3,141800,56.3477457,37.526672
Долгопрудный,3,141700,55.9385999,37.5101021
Домодедово,3,142000,55.4363283,37.7664984
Дрезна,3,142660,55.7443143,38.8498479
Дубна,3,141980,56.741786,37.1757223
Егорьевск,3,140300,55.3830113,39.0358317
Жуковский,3,140180,55.599803,38.1224298
Зарайск,3,140600,54.762456,38.8850978
Звенигород,3,143180,55.7297089,36.8554029
Ивантеевка,3,141280,55.9741665,37.9207539
Истра,3,143500,55.9062267,36.8601454
Кашира,3,142900,54.853337,38.1904392
Клин,3,141601,56.3425605,36.7240032
Коломна,3,140400,55.102814,38.7531002
Королев,3,141060,55.9161773,37.8545415
Котельники,3,140053,55.6597925,37.8631156
Красноармейск,3,141290,56.105426,38.140838
Красногорск,3,143401,55.8317203,37.3295266
Краснозаводск,3,141321,56.4409979,38.2320307
Краснознаменск,3,143090,55.5978959,37.0393709
Кубинка,3,143070,55.5754955,36.6951995
Куровское,3,142620,55.5792277,38.9207723
Ликино-Дулёво,3,142663,55.7078257,38.9578093
Лобня,3,141055,56.0328881,37.4614035
Лосино-Петровский,3,141150,55.8713214,38.200599
Луховицы,3,140500,54.9652077,39.0260266
Лыткарино,3,140080,55.5778163,37.9033507
Люберцы,3,140000,55.7003989,37.9606238
Можайск,3,143200,55.5069259,36.024043
Мытищи,3,141000,55.9105782,37.7363579
Наро-Фоминск,3,143300,55.386185,36.734484
Ногинск,3,142400,55.8686133,38.4622104
Одинцово,3,143000,55.6789455,37.263686
Озеры,3,140560,54.8541006,38.5599196
Орехово-Зуево,3,142600,55.8151421,38.9869822
Павловский Посад,3,142500,55.7807244,38.6596983
Пересвет,3,141320,56.4158326,38.1733534
Подольск,3,142100,55.4389322,37.5703482
Протвино,3,142280,54.8705984,37.2182749
Пушкино,3,141200,56.0103638,37.8471403
Пущино,3,142290,54.8324412,37.6210346
Раменское,3,140100,55.5495132,38.2728914
Реутов,3,143960,55.7582621,37.8618553
Рошаль,3,140730,55.6632776,39.8656147
Руза,3,143100,55.7014744,36.1959206
Сергиев Посад,3,141300,56.3062548,38.1502661
Серпухов,3,142200,54.9226466,37.4033859
Солнечногорск,3,141503,56.185102,36.977631
Старая Купавна,3,142450,55.8038532,38.1426842
Ступино,3,142800,54.9238928,38.1186623
Талдом,3,141900,56.7308564,37.5276003
Фрязино,3,141190,55.9590588,38.0410235
Химки,3,141402,55.888657,37.4303702
Хотьково,3,141370,56.2516982,37.9396017
Черноголовка,3,142432,56.0100707,38.3792047
Чехов,3,142300,55.1508011,37.4533252
Шатура,3,140700,55.5777427,39.5445712
Щелково,3,141100,55.9233801,37.9783707
Электрогорск,3,142530,55.8780241,38.7806752
Электросталь,3,144000,55.7847291,38.4447045
Электроугли,3,142455,55.7170877,38.2192563
Яхрома,3,141840,56.2890516,37.4831799
Апатиты,3,184200,67.5677761,33.4067929
Гаджиево,3,184670,69.2491311,33.315341
Заозерск,3,184310,69.4003584,32.4501496
Заполярный,3,184430,69.4132852,30.7984312
Кандалакша,3,184042,67.1567974,32.4143218
Кировск,3,184250,67.6150424,33.663735
Ковдор,3,184144,67.5661417,30.4741941
Кола,3,184380,68.8786028,33.0262299
Мончегорск,3,184505,67.9386153,32.9359719
Мурманск,3,183000,69.007721,33.0685865
Оленегорск,3,184530,68.1422058,33.2669407
Островной,3,184640,68.0510344,39.5077846
Полярные Зори,3,184230,67.373084,32.4975636
Полярный,3,184650,69.1989583,33.4508591
Североморск,3,184601,69.0766801,33.4177759
Снежногорск,3,184682,69.1921409,33.2383502
Нарьян-Мар,3,166000,67.6379672,53.0069565
Арзамас,3,607220,55.3945814,43.8408141
Балахна,3,606407,56.495036,43.5758423
Богородск,3,607600,56.1020828,43.5135442
Бор,3,606440,56.3565458,44.0646481
Ветлуга,3,606860,57.8559204,45.7761957
Володарск,3,606072,56.2169751,43.1596417
Ворсма,3,606120,55.989943,43.2718859
Выкса,3,607060,55.3207727,42.1678834
Горбатов,3,606125,56.1307769,43.0626185
Городец,3,606500,56.6449218,43.4723104
